id,id_mal,title,year,season,episodes,average_score,mean_score,popularity,favourites,genres,source,studio
146637,51368,ORIENT Part 2,2022,SUMMER,12,69,69,18069,278,Action|Adventure|Comedy|Fantasy,MANGA,A.C.G.T.
146650,51371,Shine on! Bakumatsu Bad Boys,2022,SUMMER,12,56,56,14659,109,Action|Fantasy,ORIGINAL,Geno Studio
146668,51381,RWBY: Ice Queendom,2022,SUMMER,12,61,61,42006,577,Action|Fantasy|Sci-Fi,OTHER,Shaft
146676,51403,LOVE FLOPS,2022,FALL,12,65,65,60106,1287,Comedy|Drama|Ecchi|Romance|Sci-Fi,ORIGINAL,Passione
146865,51037,Duel Masters King MAX,2022,SPRING,17,48,56,418,3,Action|Adventure|Comedy,ORIGINAL,Shogakukan Music & Digital Entertainment
146885,51263,Bakugan: Evolutions,2022,WINTER,30,63,70,773,11,Action|Comedy|Fantasy,OTHER,TMS Entertainment
146962,51464,The Little Lies We All Tell,2022,FALL,11,68,69,14498,162,Comedy|Sci-Fi|Slice of Life|Supernatural,MANGA,Studio Flad
149326,51837,The Maid I Hired Recently is Mysterious,2022,SUMMER,11,63,63,47149,627,Comedy|Romance|Slice of Life,MANGA,BLADE
149874,51923,Smile of the Arsnotoria the Animation,2022,SUMMER,12,55,55,12386,101,Fantasy|Slice of Life,VIDEO_GAME,LIDENFILMS
150695,52046,Beast Tamer,2022,FALL,13,68,68,73639,1703,Adventure|Fantasy,LIGHT_NOVEL,EMT Squared
150909,52162,500000000 years button,2022,SUMMER,12,52,56,1200,15,Psychological,MANGA,STUDIO SOTA
151379,52193,Akiba Maid War,2022,FALL,12,74,74,69510,1800,Action|Comedy|Drama,ORIGINAL,P.A.WORKS
153412,52460,Duel Masters WIN,2022,SUMMER,29,48,56,499,6,Action|Adventure|Comedy,ORIGINAL,Brain's Base
154545,53012,The Human Crazy University,2022,FALL,12,61,62,3776,42,Comedy|Mystery|Psychological|Thriller,MANGA,DLE
155011,52976,Berserk: The Golden Age Arc - Memorial Edition,2022,FALL,13,77,77,18077,437,Action|Adventure|Drama|Fantasy|Horror|Supernatural,MANGA,Studio 4°C
179870,50799,Oshiri Tantei 6,2022,SPRING,13,,50,73,0,Comedy|Fantasy|Mystery,OTHER,Toei Animation
111322,40357,The Rising of the Shield Hero Season 3,2023,FALL,12,70,70,142436,2184,Action|Adventure|Fantasy,LIGHT_NOVEL,Kinema Citrus
116867,41514,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 2",2023,WINTER,12,71,71,84768,1493,Action|Adventure|Comedy|Fantasy|Slice of Life,LIGHT_NOVEL,SILVER LINK.
120755,42385,THE IDOLM@STER Million Live!,2023,FALL,12,68,69,5679,100,Music,VIDEO_GAME,Shirogumi
125869,43760,The Fire Hunter,2023,WINTER,10,61,61,19496,107,Action|Adventure|Drama|Fantasy|Mystery,OTHER,Signal.MD
126316,44081,B-PROJECT Passion*Love Call,2023,FALL,12,56,59,1861,31,Music,OTHER,Asahi Production
126529,44204,In/Spectre 2,2023,WINTER,12,73,73,56260,729,Comedy|Mystery|Romance|Supernatural,OTHER,Brain's Base
127550,45486,Kuma Kuma Kuma Bear - Punch!,2023,SPRING,12,72,72,29789,535,Adventure|Comedy|Fantasy|Slice of Life,LIGHT_NOVEL,EMT Squared
128715,46422,Sacrificial Princess and the King of Beasts,2023,SPRING,24,77,77,32301,904,Drama|Fantasy|Romance,MANGA,J.C.STAFF
128893,46569,Hell’s Paradise,2023,SPRING,13,80,80,339993,11195,Action|Adventure|Mystery|Supernatural,MANGA,MAPPA
129188,47160,GOBLIN SLAYER II,2023,FALL,12,71,71,114170,1718,Action|Adventure|Fantasy,LIGHT_NOVEL,LIDENFILMS
130588,48417,The Misfit of Demon King Academy Ⅱ: History's Strongest Demon King Reincarnates and Goes to School with His Descendants,2023,WINTER,12,68,68,131860,2263,Action|Fantasy,LIGHT_NOVEL,SILVER LINK.
130696,48441,The Legend of Heroes: Trails of Cold Steel - Northern War,2023,WINTER,12,52,53,15714,199,Action|Adventure|Fantasy,VIDEO_GAME,Tatsunoko Production
131518,48549,Dr. STONE New World,2023,SPRING,11,81,81,191808,3706,Action|Adventure|Comedy|Sci-Fi,MANGA,TMS Entertainment
131863,48633,"Liar, Liar",2023,SUMMER,12,61,61,64177,893,Psychological|Romance,LIGHT_NOVEL,GEEKTOYS
134131,48981,Magical Destroyers,2023,SPRING,12,60,60,35664,393,Action|Comedy|Ecchi|Mahou Shoujo,ORIGINAL,Bibury Animation Studios
135102,49109,By the Grace of the Gods 2,2023,WINTER,12,68,68,43699,859,Adventure|Fantasy|Slice of Life,LIGHT_NOVEL,Maho Film
135778,49154,HIGH CARD,2023,WINTER,12,71,71,49600,752,Action|Fantasy,OTHER,Studio Hibari
136430,49387,Vinland Saga Season 2,2023,WINTER,24,88,88,259171,14404,Action|Adventure|Drama,MANGA,MAPPA
136435,49376,Ippon! again,2023,WINTER,13,68,69,10183,126,Slice of Life|Sports,MANGA,BAKKEN RECORD
138788,49766,UNDER NINJA,2023,FALL,12,66,66,25510,386,Action|Comedy,MANGA,Tezuka Productions
139213,49820,Cardfight!! Vanguard will+Dress Season 2,2023,WINTER,12,63,65,2124,30,Action|Adventure,ORIGINAL,Kinema Citrus
139435,49858,The Duke of Death and His Maid Season 2,2023,SUMMER,12,76,76,30974,565,Comedy|Drama|Romance|Supernatural,MANGA,J.C.STAFF
139606,49894,Classroom for Heroes,2023,SUMMER,12,59,59,52963,862,Action|Fantasy|Slice of Life,LIGHT_NOVEL,Actas
139821,49980,Sugar Apple Fairy Tale,2023,WINTER,12,73,73,51630,1264,Adventure|Fantasy|Romance,LIGHT_NOVEL,J.C.STAFF
140596,50197,"DON'T TOY WITH ME, MISS NAGATORO 2nd Attack",2023,WINTER,12,73,73,98026,1663,Comedy|Romance|Slice of Life,MANGA,OLM
140754,50220,Summoned to Another World for a Second Time,2023,SPRING,12,55,55,63672,905,Adventure|Comedy|Fantasy,LIGHT_NOVEL,Studio elle
141062,50284,Technoroid OVERMIND,2023,WINTER,12,59,60,6338,86,Music|Sci-Fi,OTHER,Doga Kobo
141208,50307,TONIKAWA: Over The Moon For You Season 2,2023,SPRING,12,76,76,87927,1794,Comedy|Romance|Slice of Life,MANGA,Seven Arcs
141249,50330,Bungo Stray Dogs 4,2023,WINTER,13,84,84,105295,2885,Action|Comedy|Mystery|Supernatural,MANGA,bones
141785,50384,Malevolent Spirits: Mononogatari,2023,WINTER,12,69,69,26067,417,Action|Supernatural,MANGA,Bandai Namco Pictures
141911,50416,Skip and Loafer,2023,SPRING,12,81,81,126191,5555,Comedy|Romance|Slice of Life,MANGA,P.A.WORKS
142193,50481,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,2023,WINTER,12,65,65,58929,970,Action|Adventure|Comedy|Fantasy,LIGHT_NOVEL,Studio Comet
142598,50582,Reign of the Seven Spellblades,2023,SUMMER,15,64,64,68560,1075,Action|Fantasy,LIGHT_NOVEL,J.C.STAFF
